[0] Instruction,[1] Binary Opcode,[2] Type,[3] Cust. parse,[4] Python code,[5] Features
  i32.ctz,0x68,   [i32]→[i32],,for i in range(33):\n\tif {-1} & (1 << i):\n\t\tbreak\n{-1} = i,
  i32.popcnt,0x69,   [i32]→[i32],,{-1} = {-1}.bit_count(),
  i32.add,0x6A,    [i32 i32]→[i32],,{-2} = ({-2} + {-1}) & 0xFFFFFFFF,
  i32.sub,0x6B,    [i32 i32]→[i32],,{-2} = ({-2} - {-1}) & 0xFFFFFFFF,
  i32.mul,0x6C,    [i32 i32]→[i32],,{-2} = ({-2} * {-1}) & 0xFFFFFFFF,
  i32.div_s,0x6D,    [i32 i32]→[i32],,"{-2} = _div_s32({-2}, {-1})",div_s32
  i32.div_u,0x6E,    [i32 i32]→[i32],,{-2} = {-2} // {-1},
  i32.rem_s,0x6F,    [i32 i32]→[i32],,"{-2} = _rem_s32({-2}, {-1})",rem_s32
  i32.rem_u,0x70,    [i32 i32]→[i32],,{-2} = {-2} % {-1},
  i32.and,0x71,    [i32 i32]→[i32],,{-2} = {-2} & {-1},
  i32.or,0x72,    [i32 i32]→[i32],,{-2} = {-2} | {-1},
  i32.xor,0x73,    [i32 i32]→[i32],,{-2} = {-2} ^ {-1},
  i32.shl,0x74,    [i32 i32]→[i32],,{-2} = ({-2} << ({-1} & 31)) & 0xFFFFFFFF,
  i32.shr_s,0x75,    [i32 i32]→[i32],,{-2} = (({-2} + ({-2} & 0x80000000) * 0x1FFFFFFFE) >> ({-1} & 31)) & 0xFFFFFFFF,
  i32.shr_u,0x76,    [i32 i32]→[i32],,{-2} = {-2} >> ({-1} & 31),
  i32.rotl,0x77,    [i32 i32]→[i32],,{-2} = ((({-2} | ({-2} << 32)) << ({-1} & 31)) >> 32) & 0xFFFFFFFF,
  i32.rotr,0x78,    [i32 i32]→[i32],,{-2} = (({-2} | ({-2} << 32)) >> ({-1} & 31)) & 0xFFFFFFFF,
  i64.clz,0x79,   [i64]→[i64],,{-1} = 64 - {-1}.bit_length(),
  i64.ctz,0x7A,   [i64]→[i64],,for i in range(64):\n\tif {-1} & (1 << i):\n\t\t{-1} = i\n\t\tbreak\nelse:\n\ti = 64,
  i64.popcnt,0x7B,   [i64]→[i64],,{-1} = {-1}.bit_count(),
  i64.add,0x7C,    [i64 i64]→[i64],,{-2} = ({-2} + {-1}) & 0xFFFFFFFFFFFFFFFF,
  i64.sub,0x7D,    [i64 i64]→[i64],,{-2} = ({-2} - {-1}) & 0xFFFFFFFFFFFFFFFF,
  i64.mul,0x7E,    [i64 i64]→[i64],,{-2} = ({-2} * {-1}) & 0xFFFFFFFFFFFFFFFF,
  i64.div_s,0x7F,    [i64 i64]→[i64],,"{-2} = _div_s64({-2}, {-1})",div_s64
  i64.div_u,0x80,    [i64 i64]→[i64],,{-2} = {-2} // {-1},
  i64.rem_s,0x81,    [i64 i64]→[i64],,"{-2} = _rem_s64({-2}, {-1})",rem_s64
  i64.rem_u,0x82,    [i64 i64]→[i64],,{-2} = {-2} % {-1},
  i64.and,0x83,    [i64 i64]→[i64],,{-2} = {-2} & {-1},
  i64.or,0x84,    [i64 i64]→[i64],,{-2} = {-2} | {-1},
  i64.xor,0x85,    [i64 i64]→[i64],,{-2} = {-2} ^ {-1},
  i64.shl,0x86,    [i64 i64]→[i64],,{-2} = ({-2} << ({-1} & 63)) & 0xFFFFFFFFFFFFFFFF,
  i64.shr_s,0x87,    [i64 i64]→[i64],,{-1} &= 63\nt = {-2} >> 63\n{-2} = {-2} >> {-1}\nif t:\n\t{-2} |= (0x7FFFFFFFFFFFFFFF) >> {-1} ^ 0xFFFFFFFFFFFFFFFF,
  i64.shr_u,0x88,    [i64 i64]→[i64],,{-2} = {-2} >> ({-1} & 63),
  i64.rotl,0x89,    [i64 i64]→[i64],,{-1} &= 63\n{-2} = (({-2} << {-1}) | ({-2} >> (64 - {-1}))) & 0xFFFFFFFFFFFFFFFF,
  i64.rotr,0x8A,    [i64 i64]→[i64],,{-1} &= 63\n{-2} = (({-2} >> {-1}) | ({-2} << (64 - {-1}))) & 0xFFFFFFFFFFFFFFFF,
  f32.abs,0x8B,   [f32]→[f32],,{-1} = abs({-1}),
  f32.neg,0x8C,   [f32]→[f32],,{-1} = -{-1},
  f32.ceil,0x8D,   [f32]→[f32],,{-1} = float(ceil({-1})),ceil
  f32.floor,0x8E,   [f32]→[f32],,{-1} = float(floor({-1})),floor
  f32.trunc,0x8F,   [f32]→[f32],,{-1} = float(trunc({-1})),trunc
  f32.nearest,0x90,   [f32]→[f32],,{-1} = float(round({-1})),round
  f32.sqrt,0x91,   [f32]→[f32],,{-1} = sqrt({-1}),sqrt
  f32.add,0x92,    [f32 f32]→[f32],,{-2} = {-2} + {-1},
  f32.sub,0x93,    [f32 f32]→[f32],,{-2} = {-2} - {-1},
  f32.mul,0x94,    [f32 f32]→[f32],,{-2} = {-2} * {-1},
  f32.div,0x95,    [f32 f32]→[f32],,{-2} = {-2} / {-1},
  f32.min,0x96,    [f32 f32]→[f32],,"{-2} = min({-2}, {-1})",
  f32.max,0x97,    [f32 f32]→[f32],,"{-2} = max({-2}, {-1})",
  f32.copysign,0x98,    [f32 f32]→[f32],,"{-2} = copysign({-2}, {-1})",copysign
  f64.abs,0x99,   [f64]→[f64],,{-1} = abs({-1}),
  f64.neg,0x9A,   [f64]→[f64],,{-1} = -{-1},
  f64.ceil,0x9B,   [f64]→[f64],,{-1} = float(ceil({-1})),
  f64.floor,0x9C,   [f64]→[f64],,{-1} = float(floor({-1})),
  f64.trunc,0x9D,   [f64]→[f64],,{-1} = float(trunc({-1})),
  f64.nearest,0x9E,   [f64]→[f64],,{-1} = float(round({-1})),
  f64.sqrt,0x9F,   [f64]→[f64],,{-1} = sqrt({-1}),
  f64.add,0xA0,    [f64 f64]→[f64],,{-2} = {-2} + {-1},
  f64.sub,0xA1,    [f64 f64]→[f64],,{-2} = {-2} - {-1},
  f64.mul,0xA2,    [f64 f64]→[f64],,{-2} = {-2} * {-1},
  f64.div,0xA3,    [f64 f64]→[f64],,{-2} = {-2} / {-1},
  f64.min,0xA4,    [f64 f64]→[f64],,"{-2} = min({-2}, {-1})",
  f64.max,0xA5,    [f64 f64]→[f64],,"{-2} = max({-2}, {-1})",
  f64.copysign,0xA6,    [f64 f64]→[f64],,"{-2} = copysign({-2}, {-1})",
   i32.wrap_i64,0xA7,   [i64]→[i32],,{-1} = {-1} & 0xFFFFFFFF,
   i32.trunc_f32_s,0xA8,   [f32]→[i32],,{-1} = trunc({-1}) & 0xFFFFFFFF if abs({-1}) < 2.2e9 else 0,trunc
   i32.trunc_f32_u,0xA9,   [f32]→[i32],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 4294967295.0) else 4294967295,trunc
   i32.trunc_f64_s,0xAA,   [f64]→[i32],,{-1} = trunc({-1}) & 0xFFFFFFFF if abs({-1}) < 2.2e9 else 0,trunc
   i32.trunc_f64_u,0xAB,   [f64]→[i32],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 4294967295.0) else 4294967295,trunc
   i64.extend_i32_s,0xAC,   [i32]→[i64],,if {-1} >> 31:\n\t{-1} |= 0xFFFFFFFF00000000,
   i64.extend_i32_u,0xAD,   [i32]→[i64],,# {-1}: 32-bits to 64-bits,
   i64.trunc_f32_s,0xAE,   [f32]→[i64],,{-1} = trunc({-1}) & 0xFFFFFFFFFFFFFFFF if abs({-1}) < 9.3e18 else 0,trunc
   i64.trunc_f32_u,0xAF,   [f32]→[i64],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 18446744073709549568.0) else 18446744073709549568,trunc
   i64.trunc_f64_s,0xB0,   [f64]→[i64],,{-1} = trunc({-1}) & 0xFFFFFFFFFFFFFFFF if abs({-1}) < 9.3e18 else 0,trunc
   i64.trunc_f64_u,0xB1,   [f64]→[i64],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 18446744073709549568.0) else 18446744073709549568,trunc
   f32.convert_i32_s,0xB2,   [i32]→[f32],,{-1} = float({-1} - 0x100000000 if {-1} >> 31 else {-1}),
   f32.convert_i32_u,0xB3,   [i32]→[f32],,{-1} = float({-1}),
   f32.convert_i64_s,0xB4,   [i64]→[f32],,{-1} = float({-1} - 0x10000000000000000 if {-1} >> 63 else {-1}),
   f32.convert_i64_u,0xB5,   [i64]→[f32],,{-1} = float({-1}),
   f32.demote_f64,0xB6,   [f64]→[f32],,# {-1}: 64-bit to 32-bit float,
   f64.convert_i32_s,0xB7,   [i32]→[f64],,{-1} = float({-1} - 0x100000000 if {-1} >> 31 else {-1}),
   f64.convert_i32_u,0xB8,   [i32]→[f64],,{-1} = float({-1}),
   f64.convert_i64_s,0xB9,   [i64]→[f64],,{-1} = float({-1} - 0x10000000000000000 if {-1} >> 63 else {-1}),
   f64.convert_i64_u,0xBA,   [i64]→[f64],,{-1} = float({-1}),
   f64.promote_f32,0xBB,   [f32]→[f64],,# {-1}: 32-bit to 64-bit float,
   i32.reinterpret_f32,0xBC,   [f32]→[i32],,"{-1} = int.from_bytes(pack(""<f"", {-1}), ""little"")",pack
   i64.reinterpret_f64,0xBD,   [f64]→[i64],,"{-1} = int.from_bytes(pack(""<d"", {-1}), ""little"")",pack
   f32.reinterpret_i32,0xBE,   [i32]→[f32],,"{-1} = unpack(""<f"", {-1}.to_bytes(4, ""little""))",unpack
   f64.reinterpret_i64,0xBF,   [i64]→[f64],,"{-1} = unpack(""<d"", {-1}.to_bytes(8, ""little""))",unpack
  i32.extend8_s,0xC0,   [i32]→[i32],,if {-1} & 0x80:\n\t{-1} |= 0xFFFFFF00\nelse:\n\t{-1} &= 0xFF,
  i32.extend16_s,0xC1,   [i32]→[i32],,if {-1} & 0x8000:\n\t{-1} |= 0xFFFF0000\nelse:\n\t{-1} &= 0xFFFF,
  i64.extend8_s,0xC2,   [i64]→[i64],,if {-1} & 0x80:\n\t{-1} |= 0xFFFFFFFFFFFFFF00\nelse:\n\t{-1} &= 0xFF,
  i64.extend16_s,0xC3,   [i64]→[i64],,if {-1} & 0x8000:\n\t{-1} |= 0xFFFFFFFFFFFF0000\nelse:\n\t{-1} &= 0xFFFF,
  i64.extend32_s,0xC4,   [i64]→[i64],,if {-1} & 0x80000000:\n\t{-1} |= 0xFFFFFFFF00000000\nelse:\n\t{-1} &= 0xFFFFFFFF,
(reserved),0xC5,,,,
(reserved),0xC6,,,,
(reserved),0xC7,,,,
(reserved),0xC8,,,,
(reserved),0xC9,,,,
(reserved),0xCA,,,,
(reserved),0xCB,,,,
(reserved),0xCC,,,,
(reserved),0xCD,,,,
(reserved),0xCE,,,,
(reserved),0xCF,,,,
 ref.null t,0xD0, []→[t],,{0} = None,
 ref.is_null,0xD1,  [t]→[i32],,{-1} = 1 if {-1} is None else 0,
 ref.func x,0xD2,  []→[funcref],,{0} = self._f{imm},
(reserved),0xD3,,,,
(reserved),0xD4,,,,
(reserved),0xD5,,,,
(reserved),0xD6,,,,
(reserved),0xD7,,,,
(reserved),0xD8,,,,
(reserved),0xD9,,,,
(reserved),0xDA,,,,
(reserved),0xDB,,,,
(reserved),0xDC,,,,
(reserved),0xDD,,,,
(reserved),0xDE,,,,
(reserved),0xDF,,,,
(reserved),0xE0,,,,
(reserved),0xE1,,,,
(reserved),0xE2,,,,
(reserved),0xE3,,,,
(reserved),0xE4,,,,
(reserved),0xE5,,,,
(reserved),0xE6,,,,
(reserved),0xE7,,,,
(reserved),0xE8,,,,
(reserved),0xE9,,,,
(reserved),0xEA,,,,
(reserved),0xEB,,,,
(reserved),0xEC,,,,
(reserved),0xED,,,,
(reserved),0xEE,,,,
(reserved),0xEF,,,,
(reserved),0xF0,,,,
(reserved),0xF1,,,,
(reserved),0xF2,,,,
(reserved),0xF3,,,,
(reserved),0xF4,,,,
(reserved),0xF5,,,,
(reserved),0xF6,,,,
(reserved),0xF7,,,,
(reserved),0xF8,,,,
(reserved),0xF9,,,,
(reserved),0xFA,,,,
(reserved),0xFB,,,,
   i32.trunc_sat_f32_s,0xFC 0x00,   [f32]→[i32],,{-1} = trunc({-1}) & 0xFFFFFFFF if abs({-1}) < 2.1e9 else _trunc_sat_s32({-1}),"trunc, trunc_sat_s32"
   i32.trunc_sat_f32_u,0xFC 0x01,   [f32]→[i32],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 4294967295.0) else _trunc_sat_u32({-1}),"trunc, trunc_sat_u32"
   i32.trunc_sat_f64_s,0xFC 0x02,   [f64]→[i32],,{-1} = trunc({-1}) & 0xFFFFFFFF if abs({-1}) < 2.1e9 else _trunc_sat_s32({-1}),"trunc, trunc_sat_s32"
   i32.trunc_sat_f64_u,0xFC 0x03,   [f64]→[i32],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 4294967295.0) else _trunc_sat_u32({-1}),"trunc, trunc_sat_u32"
   i64.trunc_sat_f32_s,0xFC 0x04,   [f32]→[i64],,{-1} = trunc({-1}) & 0xFFFFFFFFFFFFFFFF if abs({-1}) < 9.2e18 else  _trunc_sat_s64({-1}),"trunc, trunc_sat_s64"
   i64.trunc_sat_f32_u,0xFC 0x05,   [f32]→[i64],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 18446744073709549568.0) else  _trunc_sat_u64({-1}),"trunc, trunc_sat_u64"
   i64.trunc_sat_f64_s,0xFC 0x06,   [f64]→[i64],,{-1} = trunc({-1}) & 0xFFFFFFFFFFFFFFFF if abs({-1}) < 9.2e18 else  _trunc_sat_s64({-1}),"trunc, trunc_sat_s64"
   i64.trunc_sat_f64_u,0xFC 0x07,   [f64]→[i64],,{-1} = trunc({-1}) if ({-1} >= 0.0) and ({-1} < 18446744073709549568.0) else  _trunc_sat_u64({-1}),"trunc, trunc_sat_u64"
 memory.init x,0xFC 0x08,    [i32 i32 i32]→[],,"self._memory_init({imm}, {-3}, {-2}, {-1})",memory_init
 data.drop x,0xFC 0x09, []→[],,self._data_drop({imm}),data_drop
 memory.copy,0xFC 0x0A,    [i32 i32 i32]→[],,"self._memory_copy({-3}, {-2}, {-1})",memory_copy
 memory.fill,0xFC 0x0B,    [i32 i32 i32]→[],,"self._memory_fill({-3}, {-2}, {-1})",memory_fill
 table.init x y,0xFC 0x0C,    [i32 i32 i32]→[],,"self._table_init({imm0}, {imm1}, {-3}, {-2}, {-1})",table_init
 elem.drop x,0xFC 0x0D, []→[],,self._elem_drop({imm}),elem_drop
 table.copy x y,0xFC 0x0E,    [i32 i32 i32]→[],,"self._table_copy({imm0}, {imm1}, {-3}, {-2}, {-1})",table_copy
 table.grow x,0xFC 0x0F,   [t i32]→[i32],,"{-1} = self._table_grow({imm}, {-2}, {-1})",table_grow
 table.size x,0xFC 0x10,  []→[i32],,{-1} = self._table_size({imm}),table_size
 table.fill x,0xFC 0x11,   [i32 t i32]→[],,"self._table_fill({imm}, {-3}, {-2}, {-1})",table_fill
   v128.load memarg,0xFD  0x00,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load8x8_s memarg,0xFD  0x01,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load8x8_u memarg,0xFD  0x02,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load16x4_s memarg,0xFD  0x03,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load16x4_u memarg,0xFD  0x04,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load32x2_s memarg,0xFD  0x05,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load32x2_u memarg,0xFD  0x06,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load8_splat memarg,0xFD  0x07,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load16_splat memarg,0xFD  0x08,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load32_splat memarg,0xFD  0x09,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.load64_splat memarg,0xFD  0x0A,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.store memarg,0xFD  0x0B,   [i32 v128]→[],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   v128.const i128,0xFD  0x0C,  []→[v128],y,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i8x16.shuffle laneidx16,0xFD  0x0D,    [v128 v128]→[v128],y,"raise Exception(""Fixed-width SIMD is not implemented"")",
  i8x16.swizzle,0xFD  0x0E,    [v128 v128]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  i8x16.splat,0xFD  0x0F,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  i16x8.splat,0xFD  0x10,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  i32x4.splat,0xFD  0x11,   [i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  i64x2.splat,0xFD  0x12,   [i64]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  f32x4.splat,0xFD  0x13,   [f32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
  f64x2.splat,0xFD  0x14,   [f64]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i8x16.extract_lane_s laneidx,0xFD  0x15,   [v128]→[i32],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i8x16.extract_lane_u laneidx,0xFD  0x16,   [v128]→[i32],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i8x16.replace_lane laneidx,0xFD  0x17,    [v128 i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i16x8.extract_lane_s laneidx,0xFD  0x18,   [v128]→[i32],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i16x8.extract_lane_u laneidx,0xFD  0x19,   [v128]→[i32],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i16x8.replace_lane laneidx,0xFD  0x1A,    [v128 i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i32x4.extract_lane laneidx,0xFD  0x1B,   [v128]→[i32],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i32x4.replace_lane laneidx,0xFD  0x1C,    [v128 i32]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i64x2.extract_lane laneidx,0xFD  0x1D,   [v128]→[i64],,"raise Exception(""Fixed-width SIMD is not implemented"")",
   i64x2.replace_lane laneidx,0xFD  0x1E,    [v128 i64]→[v128],,"raise Exception(""Fixed-width SIMD is not implemented"")",
